Date,Open,High,Low,Close,Volume,Adj_Close
2016-04-01,0.04,0.05,0.04,0.05,24000,0.05
2016-03-31,0.05,0.05,0.05,0.05,000,0.05
2016-03-30,0.05,0.05,0.05,0.05,000,0.05
2016-03-29,0.05,0.05,0.05,0.05,000,0.05
2016-03-28,0.05,0.05,0.05,0.05,000,0.05
2016-03-24,0.05,0.05,0.04,0.05,38000,0.05
2016-03-23,0.05,0.05,0.05,0.05,000,0.05
2016-03-22,0.05,0.05,0.05,0.05,000,0.05
2016-03-21,0.05,0.05,0.05,0.05,000,0.05
2016-03-18,0.04,0.05,0.04,0.05,121400,0.05
2016-03-17,0.04,0.04,0.04,0.04,51000,0.04
2016-03-16,0.05,0.05,0.05,0.05,000,0.05
2016-03-15,0.05,0.05,0.05,0.05,000,0.05
2016-03-14,0.04,0.05,0.04,0.05,41000,0.05
2016-03-11,0.04,0.06,0.04,0.05,102500,0.05
2016-03-10,0.04,0.04,0.04,0.04,000,0.04
2016-03-09,0.04,0.04,0.04,0.04,000,0.04
2016-03-08,0.04,0.04,0.04,0.04,87000,0.04
2016-03-07,0.05,0.05,0.05,0.05,000,0.05
2016-03-04,0.05,0.05,0.05,0.05,24000,0.05
2016-03-03,0.05,0.05,0.05,0.05,000,0.05
2016-03-02,0.05,0.05,0.05,0.05,000,0.05
2016-03-01,0.05,0.05,0.05,0.05,000,0.05
2016-02-29,0.05,0.05,0.05,0.05,11000,0.05
2016-02-26,0.05,0.05,0.05,0.05,000,0.05
2016-02-25,0.05,0.05,0.05,0.05,000,0.05
2016-02-24,0.05,0.05,0.05,0.05,000,0.05
2016-02-23,0.05,0.05,0.05,0.05,000,0.05
2016-02-22,0.05,0.05,0.05,0.05,000,0.05
2016-02-19,0.05,0.05,0.05,0.05,59500,0.05
2016-02-18,0.05,0.05,0.05,0.05,100000,0.05
2016-02-17,0.04,0.05,0.04,0.05,99000,0.05
2016-02-16,0.04,0.05,0.04,0.05,179000,0.05
2016-02-12,0.04,0.04,0.04,0.04,000,0.04
2016-02-11,0.05,0.05,0.04,0.04,59000,0.04
2016-02-10,0.03,0.04,0.03,0.04,263000,0.04
2016-02-09,0.04,0.04,0.04,0.04,000,0.04
2016-02-08,0.04,0.04,0.04,0.04,000,0.04
2016-02-05,0.03,0.04,0.03,0.04,48000,0.04
2016-02-04,0.04,0.04,0.04,0.04,16000,0.04
2016-02-03,0.04,0.04,0.04,0.04,15400,0.04
2016-02-02,0.04,0.04,0.04,0.04,000,0.04
2016-02-01,0.04,0.04,0.04,0.04,000,0.04
2016-01-29,0.04,0.04,0.04,0.04,19000,0.04
2016-01-28,0.04,0.04,0.04,0.04,1000,0.04
2016-01-27,0.04,0.04,0.03,0.03,209000,0.03
2016-01-26,0.04,0.04,0.04,0.04,83000,0.04
2016-01-25,0.05,0.05,0.05,0.05,000,0.05
2016-01-22,0.05,0.05,0.05,0.05,000,0.05
2016-01-21,0.05,0.05,0.05,0.05,000,0.05
2016-01-20,0.05,0.05,0.05,0.05,000,0.05
2016-01-19,0.05,0.05,0.05,0.05,1200,0.05
2016-01-18,0.04,0.04,0.04,0.04,14000,0.04
2016-01-15,0.05,0.05,0.05,0.05,000,0.05
2016-01-14,0.05,0.05,0.05,0.05,000,0.05
2016-01-13,0.05,0.05,0.05,0.05,000,0.05
2016-01-12,0.05,0.05,0.05,0.05,000,0.05
2016-01-11,0.05,0.05,0.05,0.05,000,0.05
2016-01-08,0.05,0.05,0.05,0.05,000,0.05
2016-01-07,0.05,0.05,0.04,0.05,34000,0.05
2016-01-06,0.05,0.05,0.05,0.05,000,0.05
2016-01-05,0.04,0.09,0.04,0.05,430000,0.05
2016-01-04,0.03,0.04,0.03,0.04,115000,0.04
2015-12-31,0.03,0.03,0.03,0.03,000,0.03
2015-12-30,0.03,0.03,0.03,0.03,123000,0.03
2015-12-29,0.03,0.03,0.03,0.03,217000,0.03
2015-12-24,0.03,0.03,0.03,0.03,2000,0.03
2015-12-23,0.02,0.02,0.02,0.02,277000,0.02
2015-12-22,0.03,0.03,0.02,0.02,391000,0.02
2015-12-21,0.03,0.03,0.03,0.03,159500,0.03
2015-12-18,0.03,0.03,0.03,0.03,000,0.03
2015-12-17,0.03,0.03,0.02,0.03,454000,0.03
2015-12-16,0.03,0.03,0.03,0.03,000,0.03
2015-12-15,0.03,0.03,0.03,0.03,000,0.03
2015-12-14,0.03,0.03,0.03,0.03,10000,0.03
2015-12-11,0.03,0.03,0.03,0.03,4000,0.03
2015-12-10,0.03,0.03,0.03,0.03,10500,0.03
2015-12-09,0.03,0.03,0.03,0.03,000,0.03
2015-12-08,0.03,0.03,0.03,0.03,128600,0.03
2015-12-07,0.04,0.04,0.04,0.04,49000,0.04
2015-12-04,0.04,0.04,0.04,0.04,000,0.04
2015-12-03,0.04,0.04,0.04,0.04,32000,0.04
2015-12-02,0.04,0.04,0.04,0.04,51000,0.04
2015-12-01,0.04,0.04,0.04,0.04,000,0.04
2015-11-30,0.04,0.04,0.04,0.04,128000,0.04
2015-11-27,0.03,0.03,0.03,0.03,000,0.03
2015-11-26,0.03,0.03,0.03,0.03,000,0.03
2015-11-25,0.03,0.03,0.03,0.03,3000,0.03
2015-11-24,0.04,0.04,0.03,0.03,21000,0.03
2015-11-23,0.04,0.04,0.04,0.04,000,0.04
2015-11-20,0.04,0.04,0.04,0.04,000,0.04
2015-11-19,0.04,0.04,0.04,0.04,000,0.04
2015-11-18,0.04,0.04,0.04,0.04,000,0.04
2015-11-17,0.04,0.04,0.04,0.04,000,0.04
2015-11-16,0.04,0.04,0.04,0.04,000,0.04
2015-11-13,0.04,0.04,0.04,0.04,000,0.04
2015-11-12,0.04,0.04,0.04,0.04,40000,0.04
2015-11-11,0.04,0.04,0.04,0.04,000,0.04
2015-11-10,0.04,0.04,0.04,0.04,2000,0.04
2015-11-09,0.04,0.04,0.04,0.04,52000,0.04
2015-11-06,0.04,0.04,0.04,0.04,000,0.04
2015-11-05,0.04,0.04,0.04,0.04,000,0.04
